Site Name,Longitude,Latitude,Installed Capacity (MWelec),Development Status (short),Country
High Boydstone Farm - Battery Energy Storage Facility,-4.821155347065854,55.6545010591209,100.0,Awaiting Construction,Scotland
"Downiebrae Road, Rutherglen - Battery Energy Storage System",-4.208530278131818,55.8362318055066,150.0,Awaiting Construction,Scotland
Redshaw Battery Energy Storage,-3.772891835080298,55.496050608501406,500.0,Awaiting Construction,Scotland
"Hill Farm, Wacton Road - Battery Energy Storage System",1.2031789603077725,52.49174095140384,228.0,Application Submitted,England
Kellwood Road - Battery Storage,-3.5896199107544438,55.06849214484518,40.0,Awaiting Construction,Scotland
Riccarton Mains Road - Battery Energy Storage,-3.3096094758015235,55.90080065779464,150.0,Application Submitted,Scotland
"Keepers House, Byrecleugh -  Battery Energy Storage",-2.56347431917222,55.81551383721759,49.5,Awaiting Construction,Scotland
Bishops Dal - Battery Energy Storage System,-2.308392562555627,55.6662510084402,150.0,Application Submitted,Scotland
"Breezy Hill, North Kyle Forest Estate - BESS",-4.406126155941406,55.32376718258436,40.0,Application Submitted,Scotland
Milton Farm - Energy Storage System,-3.427391300552154,55.29211676455754,49.9,Awaiting Construction,Scotland
North Lanrigg Energy Storage,-3.9168270521562296,55.834573801531,200.0,Awaiting Construction,Scotland
"Biggar Road, Cleland - Battery Energy Storage System",-3.933168574005408,55.82503468987675,30.0,Awaiting Construction,Scotland
Broomloan Road -  Battery Energy Storage,-4.313681421149814,55.85507685574929,49.9,Awaiting Construction,Scotland
"Tweed Valley, Southern Uplands - Oliver Forest Wind Farm",-3.4881394695046573,55.47804244627155,23.0,Application Submitted,Scotland
Mid Hill Wind Farm,-2.9301907606928346,55.37640518866743,53.2,Application Submitted,Scotland
Cockenzie Battery Storage System - Site B,-2.961981057773043,55.96749730071619,102.0,Awaiting Construction,Scotland
"Bullen Lane, Bramford - Battery Energy Storage",1.067391216694937,52.07790142544353,400.0,Awaiting Construction,England
Bowshiel Farm - Battery Energy Storage,-2.359381160659325,55.89199503801968,80.0,Application Submitted,Scotland
"The Park Farm, Birds Corner - Battery Energy Storage",0.9190641962772698,52.63247935517788,800.0,Application Submitted,England
"Yaxley, Eye Airfield Industrial Estate - Battery Storage System",1.1268369574831123,52.33660248408209,200.0,Awaiting Construction,England
Ardoch Farm,-4.685733242956817,55.66100208342739,20.0,Awaiting Construction,Scotland
"Hall Farm, Hickling Lane - Battery Energy Storage",1.2562592579150813,52.57314183477579,400.0,Application Submitted,England
Stirches Renewable Energy Park - Solar Panels & Battery Energy Storage,-2.794816230710657,55.43740362307708,30.0,Application Submitted,Scotland
"Glasgow Road, Eaglesham - Battery Storage Facility",-4.279167659485302,55.75077390627388,40.0,Awaiting Construction,Scotland
"High Netherfauld House Farm 1, Tower Road - Battery Energy Storage System",-3.840898750577463,55.58828573574938,502.5,Application Submitted,Scotland
Govan Battery Energy Storage System,-4.318176269155532,55.85247567798376,49.9,Application Submitted,Scotland
"Red House Farm, Old Norwich Road - Battery Energy Storage System",1.1135608467968234,52.3267274794335,520.0,Application Submitted,England
"Dougliehill Water Treatment Works, Dougliehill Road - Battery Storage",-4.710260377857874,55.92602952022887,49.0,Awaiting Construction,Scotland
Kettleburgh Road Easton - Solar Panels & Battery Storage,1.3161224036025054,52.16499869533011,50.0,Application Submitted,England
Glentaggart - Battery Energy Storage,-3.77362170765482,55.50559306593975,42.0,Application Submitted,Scotland
"Newton Farm, Westburn Road - Battery Storage Facility",-4.1214346040196,55.82078863752605,40.0,Application Submitted,Scotland
"Market Lane And Carr Lane, Great Moulton - Battery Energy Storage System",1.1838640734175714,52.471972700224086,400.0,Application Submitted,England
"Wymondham Road, Bracon Ash - Battery Energy Storage System",1.2143815844829793,52.53844726234057,228.0,Application Submitted,England
"Malcolmwood Farm, Loanend Road - Battery Energy Storage System",-4.113485691857539,55.79284096146293,49.5,Application Submitted,Scotland
"Locks Street, Coatdyke - Battery Energy Storage Systems",-4.004150575532076,55.85921652733308,45.0,Application Submitted,Scotland
"Shereford Road, West Raynham Estate - Battery Energy Storage System",0.7846000222951461,52.77927544900239,50.0,Awaiting Construction,England
South Kyle Wind Farm 2,-4.396221398520217,55.32316194807235,50.0,Application Submitted,Scotland
Kennishead Road - Battery Energy Storage,-4.329786048852717,55.811254932159855,40.0,Application Submitted,Scotland
"Mulbarton Road, Keswick - Battery Energy Storage System",1.2745271519751395,52.59621911364609,400.0,Application Submitted,England
"East Rogerton Cottage, Markethill Road - Battery Storage Facility",-4.191695318378095,55.783678624590834,55.0,Application Submitted,Scotland
"Knockair, Dougliehill Road - Battery Storage Facility",-4.705414545491435,55.93276056125602,24.0,Application Submitted,Scotland
